url,rank,company,revenues,revenue_pct_change,profits,profits_pct_change,assets,market_val,rank_change_1000,employees,rank_change_500,sector,industry,hq,website,years_on_fortune500,costs,revenue_pct,cost_pct
https://fortune.com/fortune500/2019/cisco-systems/,64,Cisco Systems,49330.0,2.8,110.0,-98.9,108784.0,237665.5,2,74200,2,Technology,Network and Other Communications Equipment,"San Jose, Calif.",http://www.cisco.com,24,49220.0,0.5005580923389142,0.49944190766108576
https://fortune.com/fortune500/2019/cigna/,65,Cigna,48650.0,16.9,2637.0,17.9,153226.0,61058.9,8,73800,8,Health Care,Health Care: Insurance and Managed Care,"Bloomfield, Conn.",http://www.cigna.com,25,46013.0,0.5139283563800007,0.4860716436199994
https://fortune.com/fortune500/2019/aig/,66,AIG,47389.0,-4.3,-6.0,,491984.0,37440.1,6,49600,6,Financials,Insurance: Property and Casualty (Stock),"New York, N.Y.",http://www.aig.com,25,47395.0,0.4999683490884537,0.5000316509115462
https://fortune.com/fortune500/2019/hca-healthcare/,67,HCA Healthcare,46677.0,-2.0,3787.0,70.9,39207.0,44787.0,4,229000,4,Health Care,Health Care: Medical Facilities,"Nashville, Tenn.",http://www.hcahealthcare.com,25,42890.0,0.5211405986579879,0.4788594013420121
https://fortune.com/fortune500/2019/american-airlines-group/,68,American Airlines Group,44541.0,5.5,1412.0,-26.4,60580.0,14262.0,3,128900,3,Transportation,Airlines,"Fort Worth, Texas",http://www.aa.com,25,43129.0,0.5080529257442683,0.4919470742557317
https://fortune.com/fortune500/2019/delta-air-lines/,69,Delta Air Lines,44438.0,7.7,3935.0,10.0,60266.0,35067.8,6,88680,6,Transportation,Airlines,"Atlanta, Ga.",http://www.delta.com,25,40503.0,0.5231631367655196,0.4768368632344804
https://fortune.com/fortune500/2019/charter-communications/,70,Charter Communications,43634.0,4.9,1230.0,-87.6,146130.0,85923.4,4,98000,4,Telecommunications,Telecommunications,"Stamford, Conn.",http://www.charter.com,19,42404.0,0.507148004370162,0.492851995629838
https://fortune.com/fortune500/2019/new-york-life-insurance/,71,New York Life Insurance,43425.3,2.7,880.0,-52.9,311449.3,0.0,2,11388,2,Financials,"Insurance: Life, Health (Mutual)","New York, N.Y.",http://www.newyorklife.com,25,42545.3,0.5051180287214466,0.4948819712785534
https://fortune.com/fortune500/2019/american-express/,72,American Express,43281.0,21.6,6921.0,153.0,188602.0,91675.1,14,59000,14,Financials,Diversified Financials,"New York, N.Y.",http://www.americanexpress.com,25,36360.0,0.543451237427958,0.456548762572042
https://fortune.com/fortune500/2019/nationwide/,73,Nationwide,43270.0,-1.5,512.6,107.9,214141.9,0.0,7,30472,7,Financials,Insurance: Property and Casualty (Mutual),"Columbus, Ohio",http://www.nationwide.com,25,42757.4,0.5029792833446088,0.4970207166553912
https://fortune.com/fortune500/2019/best-buy/,74,Best Buy,42879.0,1.7,1464.0,46.4,12901.0,19030.2,2,125000,2,Retailing,Specialty Retailers: Other,"Richfield, Minn.",http://www.bestbuy.com,25,41415.0,0.5086838920919639,0.49131610790803615
https://fortune.com/fortune500/2019/liberty-mutual-insurance-group/,75,Liberty Mutual Insurance Group,42685.0,0.0,2160.0,12605.9,125989.0,0.0,7,50000,7,Financials,Insurance: Property and Casualty (Stock),"Boston, Mass.",http://www.libertymutual.com,25,40525.0,0.5129792092296599,0.4870207907703401
https://fortune.com/fortune500/2019/merck/,76,Merck,42294.0,5.4,6220.0,159.8,82637.0,214680.1,2,69000,2,Health Care,Pharmaceuticals,"Kenilworth, N.J.",http://www.merck.com,65,36074.0,0.539684565128624,0.46031543487137605
https://fortune.com/fortune500/2019/honeywell-international/,77,Honeywell International,41802.0,3.1,6765.0,308.8,57773.0,115752.5,0,114000,0,Industrials,"Electronics, Electrical Equip.","Morris Plains, N.J.",http://www.honeywell.com,65,35037.0,0.5440206145316832,0.45597938546831684
https://fortune.com/fortune500/2019/united-continental-holdings/,78,United Continental Holdings,41303.0,9.5,2129.0,-0.1,44792.0,21279.5,3,92000,3,Transportation,Airlines,"Chicago, Ill.",http://www.united.com,25,39174.0,0.5132273817363967,0.48677261826360324
https://fortune.com/fortune500/2019/tiaa/,79,TIAA,41052.1,14.0,1560.5,48.7,568190.2,0.0,5,17643,5,Financials,"Insurance: Life, Health (Mutual)","New York, N.Y.",http://www.tiaa.org,22,39491.6,0.5096872877704898,0.4903127122295102
https://fortune.com/fortune500/2019/tyson-foods/,80,Tyson Foods,40052.0,4.7,3024.0,70.5,29109.0,25360.5,0,121000,0,"Food, Beverages & Tobacco",Food Production,"Springdale, Ark.",http://www.tysonfoods.com,38,37028.0,0.5196159833938765,0.4803840166061235
https://fortune.com/fortune500/2019/oracle/,81,Oracle,39831.0,5.6,3825.0,-59.0,137264.0,183562.2,1,137000,1,Technology,Computer Software,"Redwood City, Calif.",http://www.oracle.com,24,36006.0,0.5252185608607935,0.47478143913920645
https://fortune.com/fortune500/2019/allstate/,82,Allstate,39815.0,3.4,2252.0,-29.4,112249.0,31264.3,3,45420,3,Financials,Insurance: Property and Casualty (Stock),"Northbrook, Ill.",http://www.allstate.com,24,37563.0,0.5145519398278581,0.4854480601721419
https://fortune.com/fortune500/2019/world-fuel-services/,83,World Fuel Services,39750.3,18.0,127.7,,5676.9,1940.6,8,5000,8,Energy,Energy,"Miami, Fla.",http://www.wfscorp.com,15,39622.600000000006,0.5008044307313957,0.4991955692686043
https://fortune.com/fortune500/2019/massachusetts-mutual-life-insurance/,84,Massachusetts Mutual Life Insurance,39267.2,17.2,397.9,-22.4,265812.6,0.0,9,9844,9,Financials,"Insurance: Life, Health (Mutual)","Springfield, Mass.",http://www.massmutual.com,25,38869.299999999996,0.5025461852015383,0.4974538147984616
https://fortune.com/fortune500/2019/tjx/,85,TJX,38972.9,8.7,3059.8,17.3,14326.0,65615.7,0,270000,0,Retailing,Specialty Retailers: Apparel,"Framingham, Mass.",http://www.tjx.com,25,35913.1,0.5204297198408248,0.47957028015917524
https://fortune.com/fortune500/2019/conocophillips/,86,ConocoPhillips,38727.0,18.9,6257.0,,69980.0,75710.1,9,10800,9,Energy,"Mining, Crude-Oil Production","Houston, Texas",http://www.conocophillips.com,65,32470.0,0.5439414582075087,0.4560585417924913
https://fortune.com/fortune500/2019/deere/,87,Deere,37357.7,25.6,2368.4,9.7,70108.0,50908.0,15,74413,15,Industrials,Construction and Farm Machinery,"Moline, Ill.",http://www.johndeere.com,65,34989.299999999996,0.5163683359365281,0.4836316640634718
https://fortune.com/fortune500/2019/tech-data/,88,Tech Data,37239.0,1.3,340.6,192.0,12986.6,3779.0,5,14000,5,Wholesalers,Wholesalers: Electronics and Office Equipment,"Clearwater, Fla.",http://www.techdata.com,25,36898.4,0.5022970862209897,0.4977029137790104
https://fortune.com/fortune500/2019/enterprise-products-partners/,89,Enterprise Products Partners,36534.2,24.9,4172.4,49.1,56969.8,63579.8,16,7000,16,Energy,Pipelines,"Houston, Texas",http://www.enterpriseproducts.com,14,32361.799999999996,0.5302804226660474,0.4697195773339526
https://fortune.com/fortune500/2019/nike/,90,Nike,36397.0,6.0,1933.0,-54.4,22536.0,132529.5,1,73100,1,Apparel,Apparel,"Beaverton, Ore.",http://www.nike.com,25,34464.0,0.5136393785015735,0.4863606214984265
https://fortune.com/fortune500/2019/publix-super-markets/,91,Publix Super Markets,36395.7,4.5,2381.2,3.9,18982.5,0.0,3,202000,3,Food & Drug Stores,Food and Drug Stores,"Lakeland, Fla.",http://www.publix.com,25,34014.5,0.5169094818648434,0.4830905181351566
https://fortune.com/fortune500/2019/general-dynamics/,92,General Dynamics,36193.0,16.9,3345.0,14.9,45408.0,48883.0,7,105600,7,Aerospace & Defense,Aerospace and Defense,"Falls Church, Va.",http://www.generaldynamics.com,65,32848.0,0.5242247360264191,0.47577526397358094
https://fortune.com/fortune500/2019/exelon/,93,Exelon,35985.0,7.3,2010.0,-46.7,119666.0,48623.7,1,33383,1,Energy,Utilities: Gas and Electric,"Chicago, Ill.",http://www.exeloncorp.com,25,33975.0,0.5143653516295026,0.4856346483704974
https://fortune.com/fortune500/2019/plains-gp-holdings/,94,Plains GP Holdings,34055.0,29.9,334.0,,26830.0,3974.4,21,4900,21,Energy,Pipelines,"Houston, Texas",http://www.plainsallamerican.com,6,33721.0,0.5024639990557129,0.49753600094428707
https://fortune.com/fortune500/2019/3m/,95,3M,32765.0,3.5,5349.0,10.1,36500.0,119659.8,2,93516,2,Industrials,Miscellaneous,"St. Paul, Minn.",http://www.3m.com,65,27416.0,0.5444409365082002,0.45555906349179975
https://fortune.com/fortune500/2019/abbvie/,96,AbbVie,32753.0,16.1,5687.0,7.1,59352.0,119125.3,14,30000,14,Health Care,Pharmaceuticals,"North Chicago, Ill.",http://www.abbvie.com,6,27066.0,0.5475350641100654,0.45246493588993464
https://fortune.com/fortune500/2019/chs/,97,CHS,32683.3,2.0,775.9,983.8,16381.2,0.0,1,10495,1,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, Minn.",http://www.chsinc.com,20,31907.399999999998,0.5060062826382127,0.4939937173617874
https://fortune.com/fortune500/2019/capital-one-financial/,98,Capital One Financial,32377.0,7.9,6015.0,203.5,372538.0,38340.7,3,47600,3,Financials,Commercial Banks,"McLean, Va.",http://www.capitalone.com,20,26362.0,0.5512010759461345,0.4487989240538654
https://fortune.com/fortune500/2019/progressive/,99,Progressive,31979.0,19.2,2615.3,64.3,46575.0,42099.5,13,37346,13,Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, Ohio",http://www.progressive.com,25,29363.7,0.5213171249390718,0.4786828750609282
